Valve,Drink
0,tequila
1,vodka
2,rum
3,triple sec
4,cranberry juice
5,club soda
6,ginger beer
7,orange juice
8,lime juice
9,simple syrup
10,
11,
12,
13,
14,
15,
16,
17,
